CMS Unit ID,Primary Unit Identifier,Title,Quantity,Centroid Latitude,Centroid Longitude,Site Name,Materials 1,MType1,Materials 2,MType2,Descriptor 1,Descriptor Type 1,Descriptor 2,Descriptor Type 2,Descriptor 3,Descriptor Type 3,Recovery Date,HPU Method,HPU Number,Horizontal Coordinate 1,Horizontal Coordinate 2,Horizontal Measurement Unit,Horizontal Reference Point,Feature Number,Feature Type,VPU Method,VPU Number,VPU Start,VPU End,Vertical Measurement unit,Vertical Reference Point,Concat,Description 1,Description Type 1,Description Date 1,Description Author 1,Description 2,Description Type 2,Description Date 2,Description Author 2,Description 3,Description Type 3,Description Date 3,Description Author 3,Mgmt Notes 1,Mgmt Note Type 1,Mgmt Note Author 1,Mgmt Note Date 1,Mgmt Notes 2,Mgmt Note Type 2,Mgmt Note Author 2,Mgmt Note Date 2,Mgmt Notes 3,Mgmt Note Type 3,Mgmt Note Author 3,Mgmt Note Date 3,Multimedia Title,Multimedia Internal Record Number,Permanent Location,Insertion Date,Inserted By
11172339,317.42.18,Door Hardware,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,cast iron,AAT,,,door hardware,AAT,fragment (object portion),AAT,,,,,,N0,W90,,,,,,,1.8,2.2,feet,,,cast iron lock or striker plate fragment,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172326,317.65.13,Brace (Supporting Element),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,brace (supporting element),AAT,,,,,,,,S10,E40,,,,,,,1.1,2.5,feet,,,"iron bracket with screw [[sketch]] bracket extends 2.1 -  .7"" high -  4mm thick -  screw is 1.5' long -  diam 5mm""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172327,317.73.13,Strap Hinge,3,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,strap hinge,AAT,,,,,,,10 S / 20 E north half,S10,E40,,,,,,Rubble fill,,,feet,Surface,,"large I Hinge, iron",Catalog,,Unknown Cataloger,,,,,,,,,Also 2 screws in a bottle that belong with the hinge,Inventory,"Scott, Barbara G.",10/10/2013,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172340,317.96.3,Window Screen,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,metal,AAT,,,window screen,AAT,fragment (object portion),AAT,,,,,10 S / 0 E north half,S10,E0,,,,,,,0,5.42,feet,surface,,"iron window screen sample. A number of layers matted together. 1/16 mesh. dating from 1860s or 70s and after""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172341,317.98.6,Doorknob,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,ceramic (material),AAT,,,doorknob,AAT,fragment (object portion),AAT,,,,,10 S / 0 E north half or NW quarter,S10,E0,,,,,,,0,3,feet,surface,,Bennington door knob fragment,Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172342,317.98.21,Window Screen,1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,metal,AAT,,,window screen,AAT,fragment (object portion),AAT,,,,,10 S / 0 E north half or NW quarter,S10,E0,,,,,,,0,3,feet,surface,,"matted 1/16 window screen fragment""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172343,317.110.10,Pin (Hinge Component),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,pin (hinge component),AAT,,,,,,,20 S / 10 E north half,S20,E10,,,,,,fill,0,6,,surface,,"iron decorative bolt; possibly from door hinge 4 1/2 long""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172344,317.111.9,Bolt (Latch And Lock Component),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,bolt (latch and lock component),AAT,,,,,,,"20 S / 0 E north half, west half",S20,E0,,,,,,,,3,feet,,,"iron door bolt 5 long""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172345,317.120.15,Fragment (Object Portion),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,cast iron,AAT,,,fragment (object portion),AAT,,,,,,,20 S / 30 E north five feet,S20,E30,,,,,,fill,0,5,feet,surface,,"iron plate 5 1/2 by 2 3/4"" 1/8"" thick 3 holes - middle hole is 3/4"" in diameter smaller ones are 1/8"" in diameter [[sketch]]""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
11172328,317.139.8,Hinge (Hardware),1,44 53 35 N,093 10 52 W,Fort Snelling Short Barracks,iron (metal),AAT,,,hinge (hardware),AAT,fragment (object portion),AAT,,,,,10 S / 30 E east half,S10,E30,,,,,,,5.3,6.3,feet,,,"rim hinge fragment 5 long [[sketch]] 20 mm across base -  5 mm thick -  4 holes diam each 5 mm""",Catalog,,Unknown Cataloger,,,,,,,,,,,,,,,,,,,,,,,1551.Archaeology,12/11/2013,Nancy Hoffman
